# Austronesian (Glottolog 5.3) members in the eBible corpus; branch = Glottolog subgroup 2 level(s) below Austronesian
languageCode,branch
abx,Basap-Greater Barito
tdx,Basap-Greater Barito
yka,Basap-Greater Barito
bpr,Bilic
bps,Bilic
tbl,Bilic
tiy,Bilic
hvn,Bima-Lembata
nfa,Bima-Lembata
blz,Celebic
mzq,Celebic
pdo,Celebic
wlo,Celebic
abc,Central Luzon
sgb,Central Luzon
smk,Central Luzon
cha,Chamorro
aai,Eastern Malayo-Polynesian
adz,Eastern Malayo-Polynesian
aia,Eastern Malayo-Polynesian
amk,Eastern Malayo-Polynesian
apb,Eastern Malayo-Polynesian
apr,Eastern Malayo-Polynesian
aui,Eastern Malayo-Polynesian
bch,Eastern Malayo-Polynesian
bdd,Eastern Malayo-Polynesian
bgt,Eastern Malayo-Polynesian
bjk,Eastern Malayo-Polynesian
bjp,Eastern Malayo-Polynesian
bki,Eastern Malayo-Polynesian
bmk,Eastern Malayo-Polynesian
bnp,Eastern Malayo-Polynesian
buk,Eastern Malayo-Polynesian
bvd,Eastern Malayo-Polynesian
bwd,Eastern Malayo-Polynesian
bxh,Eastern Malayo-Polynesian
bzh,Eastern Malayo-Polynesian
chk,Eastern Malayo-Polynesian
dad,Eastern Malayo-Polynesian
dob,Eastern Malayo-Polynesian
dww,Eastern Malayo-Polynesian
emi,Eastern Malayo-Polynesian
far,Eastern Malayo-Polynesian
gfk,Eastern Malayo-Polynesian
ghn,Eastern Malayo-Polynesian
gvs,Eastern Malayo-Polynesian
haw,Eastern Malayo-Polynesian
hla,Eastern Malayo-Polynesian
hot,Eastern Malayo-Polynesian
hrw,Eastern Malayo-Polynesian
jae,Eastern Malayo-Polynesian
kbm,Eastern Malayo-Polynesian
khz,Eastern Malayo-Polynesian
kij,Eastern Malayo-Polynesian
klv,Eastern Malayo-Polynesian
kos,Eastern Malayo-Polynesian
kpg,Eastern Malayo-Polynesian
kqf,Eastern Malayo-Polynesian
kqw,Eastern Malayo-Polynesian
ksd,Eastern Malayo-Polynesian
