# Narrow Bantu (Glottolog 5.3) members in the eBible corpus; branch = Glottolog subgroup 1 level(s) below Narrow Bantu
languageCode,branch
bkw,Bantu A-B10-B20-B30
bss,Bantu A-B10-B20-B30
mcp,Bantu A-B10-B20-B30
iyx,Central-Western Bantu
lin,Central-Western Bantu
lyn,Central-Western Bantu
mkw,Central-Western Bantu
nkn,Central-Western Bantu
puu,Central-Western Bantu
tyx,Central-Western Bantu
yaf,Central-Western Bantu
yns,Central-Western Bantu
yom,Central-Western Bantu
bou,East Bantu
bwc,East Bantu
cwe,East Bantu
dne,East Bantu
dov,East Bantu
eko,East Bantu
hav,East Bantu
ikz,East Bantu
isn,East Bantu
kdc,East Bantu
kde,East Bantu
kik,East Bantu
kiz,East Bantu
lag,East Bantu
lug,East Bantu
mgh,East Bantu
mgv,East Bantu
mgw,East Bantu
mpa,East Bantu
mwe,East Bantu
nde,East Bantu
ndg,East Bantu
ndj,East Bantu
ngp,East Bantu
nnq,East Bantu
nww,East Bantu
nya,East Bantu
poy,East Bantu
reg,East Bantu
ruf,East Bantu
sbk,East Bantu
sbs,East Bantu
sby,East Bantu
seh,East Bantu
shr,East Bantu
sna,East Bantu
swh,East Bantu
sxb,East Bantu
tap,East Bantu
tke,East Bantu
tsn,East Bantu
vid,East Bantu
wbi,East Bantu
wmw,East Bantu
xnj,East Bantu
yao,East Bantu
zaj,East Bantu
zak,East Bantu
zga,East Bantu
zin,East Bantu
ziw,East Bantu
