# Indo-Aryan (Glottolog 5.3) members in the eBible corpus; branch = Glottolog subgroup 2 level(s) below Indo-Aryan
languageCode,branch
asm,Continental Indo-Aryan
bdv,Continental Indo-Aryan
ben,Continental Indo-Aryan
bgc,Continental Indo-Aryan
bhi,Continental Indo-Aryan
bhu,Continental Indo-Aryan
bpx,Continental Indo-Aryan
dhn,Continental Indo-Aryan
gbl,Continental Indo-Aryan
guj,Continental Indo-Aryan
hin,Continental Indo-Aryan
hlb,Continental Indo-Aryan
hne,Continental Indo-Aryan
hns,Continental Indo-Aryan
lbm,Continental Indo-Aryan
mar,Continental Indo-Aryan
nag,Continental Indo-Aryan
npi,Continental Indo-Aryan
ory,Continental Indo-Aryan
pan,Continental Indo-Aryan
pwr,Continental Indo-Aryan
rei,Continental Indo-Aryan
rhg,Continental Indo-Aryan
rmc,Continental Indo-Aryan
rmn,Continental Indo-Aryan
rmy,Continental Indo-Aryan
thr,Continental Indo-Aryan
urd,Continental Indo-Aryan
vaa,Continental Indo-Aryan
vgr,Continental Indo-Aryan
bfz,Eastern Dardic
bhd,Eastern Dardic
bht,Eastern Dardic
san,Sanskrit
