# Sino-Tibetan (Glottolog 5.3) members in the eBible corpus; branch = Glottolog subgroup 1 level(s) below Sino-Tibetan
languageCode,branch
bod,Bodic
taj,Bodic
tcn,Bodic
tvt,Brahmaputran
atb,Burmo-Qiangic
dnv,Burmo-Qiangic
mya,Burmo-Qiangic
rki,Burmo-Qiangic
tvn,Burmo-Qiangic
lif,Himalayish
suz,Himalayish
bgg,Kho-Bwa
cek,Kuki-Chin-Naga
cfm,Kuki-Chin-Naga
csy,Kuki-Chin-Naga
dao,Kuki-Chin-Naga
hlt,Kuki-Chin-Naga
kfw,Kuki-Chin-Naga
mni,Kuki-Chin-Naga
pub,Kuki-Chin-Naga
sch,Kuki-Chin-Naga
tcz,Kuki-Chin-Naga
zyp,Kuki-Chin-Naga
tgj,Macro-Tani
cmn,Sinitic
