languageCode,glottocode,glottologName,family,path
aai,arif1239,Arifama-Miniafia,Austronesian,Austronesian > Malayo-Polynesian > Eastern Malayo-Polynesian > Oceanic > Western Oceanic linkage > Papuan Tip linkage > Nuclear Papuan Tip linkage > North Papuan Mainland-D'Entrecasteaux linkage > Are-Taupota linkage > Are linkage > Arifama-Miniafia
aak,anka1246,Ankave,Angan,Angan > Nuclear Angan > Ankave-Tainae-Akoye > Ankave
aau,abau1245,Abau,Sepik,Sepik > Abau
aaz,amar1273,Amarasi,Austronesian,Austronesian > Malayo-Polynesian > Timor-Babar > Rote-Meto > West Rote > Dengka-Meto > Meto > Amarasi
abc,amba1267,Ambala Ayta,Austronesian,Austronesian > Malayo-Polynesian > Central Luzon > Sambalic > Ambala Ayta
abt,ambu1247,Ambulas,Ndu,Ndu > Nuclear Ndu > Ambulas-Hanga-Hundi > Ambulas
abx,inab1237,Inabaknon,Austronesian,Austronesian > Malayo-Polynesian > Basap-Greater Barito > Greater Barito linkage > Sama-Bajaw > Inabaknon
aby,anem1248,Aneme Wake,Yareban,Yareban > Doriri-Abia > Aneme Wake
acf,sain1246,Saint Lucian Creole French,Indo-European,Indo-European > Classical Indo-European > Italic > Latino-Faliscan > Latinic > Imperial Latin > Romance > Italo-Western Romance > Western Romance > Shifted Western Romance > Northwestern Shifted Romance > Gallo-Rhaetian > Oil > Central Oil > Macro-French > Circum-Caribbean French > Lesser Antillean French Creole > Saint Lucian Creole French
acr,achi1256,Achi,Mayan,Mayan > Core Mayan > Quichean-Mamean > Greater Quichean > Core Quichean > Quiche-Achi > Achi
acu,achu1248,Achuar-Shiwiar,Chicham,Chicham > Shuaric > Achuar-Shiwiar
adz,adze1240,Adzera,Austronesian,Austronesian > Malayo-Polynesian > Eastern Malayo-Polynesian > Oceanic > Western Oceanic linkage > North New Guinea linkage > Huon Gulf > Markham > Upper Markham > Adzera
aer,east2379,Eastern Arrernte,Pama-Nyungan,Pama-Nyungan > Arandic-Thura-Yura > Arandic > South Arandic > Upper Arrernte > Central-Eastern Arrernte > Eastern Arrernte
aey,amel1241,Amele,Nuclear Trans New Guinea,Nuclear Trans New Guinea > Madang > Croisilles > Mabuso > Gum > Amele
agd,agar1252,Agarabi,Nuclear Trans New Guinea,Nuclear Trans New Guinea > Kainantu-Goroka > Kainantu > Gauwa > Gadsup-Agarabi > Agarabi
agg,ango1254,Angor,Senagi,Senagi > Angor
agm,anga1290,Angaataha,Angan,Angan > Angaataha
agn,agut1237,Agutaynen,Austronesian,Austronesian > Malayo-Polynesian > Greater Central Philippine > Palawanic-Kalamian > Kalamian > Agutaynen
agr,agua1253,Aguaruna,Chicham,Chicham > Aguaruna
agt,cent2084,Central Cagayan Agta,Austronesian,Austronesian > Malayo-Polynesian > Northern Luzon > Cagayan Valley > Ibanagic > Gaddangic > Central Cagayan Agta
agu,agua1252,Aguacateco,Mayan,Mayan > Core Mayan > Quichean-Mamean > Greater Mamean > Ixilan > Aguacateco
ahr,ahir1243,Ahirani,Bookkeeping,Bookkeeping > Ahirani
aia,aros1241,Arosi,Austronesian,Austronesian > Malayo-Polynesian > Eastern Malayo-Polynesian > Oceanic > Southeast Solomonic > Longgu-Malaita-Makira > Malaita-Makira > Makira > Arosi
aii,assy1241,Assyrian Neo-Aramaic,Afro-Asiatic,Afro-Asiatic > Semitic > West Semitic > Central Semitic > Northwest Semitic > Aramaic > Imperial-Middle-Modern Aramaic > Middle-Modern Aramaic > Eastern Aramaic > Central Eastern Aramaic > North-Eastern Neo-Aramaic > Assyrian Neo-Aramaic
ake,akaw1239,Akawaio-Ingariko,Cariban,Cariban > Venezuelan Cariban > Pemong-Panare > Pemongan > Kapong > Akawaio-Ingariko
alp,alun1238,Alune,Austronesian,Austronesian > Malayo-Polynesian > Nunusaku > Three Rivers > Amalumute > Northwest Seram > Ulat Inai > Alune
alq,algo1255,Algonquin,Algic,Algic > Algonquian-Blackfoot > Algonquian > Eastern Great Lakes Algonquian > Ojibwa-Potawatomi > Ojibwa > Severn-Algonquin > Algonquin
alw,alab1254,Alaba-K'abeena,Afro-Asiatic,Afro-Asiatic > Cushitic > East Cushitic > Highland East Cushitic > Sidaama-Hadiyya-Kambaata > Hadiyya-Kambaata > Kambaataic > Alaba-K'abeena
aly,alya1239,Alyawarr,Pama-Nyungan,Pama-Nyungan > Arandic-Thura-Yura > Arandic > South Arandic > Upper Arrernte > Alyawarr
ame,yane1238,Yanesha',Arawakan,Arawakan > Southern Maipuran > Kampa-Amuesha > Yanesha'
amf,hame1242,Hamer-Banna,South Omotic,South Omotic > AHK > Hamer-Karo > Hamer-Banna
amh,amha1245,Amharic,Afro-Asiatic,Afro-Asiatic > Semitic > West Semitic > Ethiosemitic > South Ethiopic > Amharic-Argobba > Amharic
amk,amba1265,Ambai,Austronesian,Austronesian > Malayo-Polynesian > Eastern Malayo-Polynesian > South Halmahera-West New Guinea > Cenderawasih Bay > Yapen > Central-Western Yapen > Ansus-Ambai > Ambai
amm,amap1240,Ama (Papua New Guinea),Left May,Left May > Western Left May > Ama (Papua New Guinea)
amn,aman1265,Amanab,Border,Border > Warisic > Amanab
amo,amoo1242,Amo,Atlantic-Congo,Atlantic-Congo > Volta-Congo > Benue-Congo > Kainji > Central Kainji > Basa-Eastern Kainji > Eastern Kainji > Jos > Amo
amp,alam1246,Alamblak,Sepik,Sepik > Sepik Hill > Central-Eastern Sepik Hill > Eastern Sepik Hill > Alamblak
amr,amar1274,Amarakaeri,Harakmbut,Harakmbut > Amarakaeri
amu,guer1243,Guerrero Amuzgo,Otomanguean,Otomanguean > Eastern Otomanguean > Amuzgo-Mixtecan > Amuzgoan > Guerrero Amuzgo
amx,anma1239,Anmatyerre,Pama-Nyungan,Pama-Nyungan > Arandic-Thura-Yura > Arandic > South Arandic > Upper Arrernte > Anmatyerre
anh,nend1239,Nend,Nuclear Trans New Guinea,Nuclear Trans New Guinea > Madang > Kalamic-South Adelbert > South Adelbert > Sogeram > Apalic > Greater West Sogeram > West Sogeram > Nend
anv,deny1238,Denya,Atlantic-Congo,Atlantic-Congo > Volta-Congo > Benue-Congo > Bantoid > Southern Bantoid > Mamfe > Kendem-Denya > Denya
aoi,anin1240,Anindilyakwa,Gunwinyguan,Gunwinyguan > Eastern Gunwinyguan > Wubuy-Anindilyakwa > Anindilyakwa
aoj,mufi1238,Mufian,Nuclear Torricelli,Nuclear Torricelli > Kombio-Arapesh-Urat > Arapesh > Mufian-Bukiyip-Abu > Mufian
aom,omie1241,Ömie,Koiarian,Koiarian > Baraic > Ömie
aon,bumb1241,Bumbita Arapesh,Nuclear Torricelli,Nuclear Torricelli > Kombio-Arapesh-Urat > Arapesh > Bumbita Arapesh
apb,saaa1240,Sa'a,Austronesian,Austronesian > Malayo-Polynesian > Eastern Malayo-Polynesian > Oceanic > Southeast Solomonic > Longgu-Malaita-Makira > Malaita-Makira > Sa'a
ape,buki1249,Bukiyip,Nuclear Torricelli,Nuclear Torricelli > Kombio-Arapesh-Urat > Arapesh > Mufian-Bukiyip-Abu > Bukiyip-Abu > Bukiyip
apn,apin1244,Apinayé,Nuclear-Macro-Je,Nuclear-Macro-Je > Je > Cerrado > Goyaz > Northern Je > Apinayé
apr,arop1243,Arop-Lokep,Austronesian,Austronesian > Malayo-Polynesian > Eastern Malayo-Polynesian > Oceanic > Western Oceanic linkage > North New Guinea linkage > Ngero-Vitiaz linkage > Vitiaz linkage > Korap linkage > Arop-Lokep
apu,apur1254,Apurinã,Arawakan,Arawakan > Southern Maipuran > Purus-Chamicuro > Purus > Apurinã
apw,west2615,Western Apache,Athabaskan-Eyak-Tlingit,Athabaskan-Eyak-Tlingit > Athabaskan-Eyak > Athabaskan > Apachean > Southwestern Apachean > Western Southwestern Apachean > Western Apache
apz,safe1240,Safeyoka,Angan,Angan > Nuclear Angan > Wojokesic > Safeyoka
aqk,anin1242,Aninka,Atlantic-Congo,Atlantic-Congo > Volta-Congo > Benue-Congo > Benue-Congo Plateau > Ninzic > Aninka
arb,stan1318,Standard Arabic,Afro-Asiatic,Afro-Asiatic > Semitic > West Semitic > Central Semitic > Arabian > Arabic > Standard Arabic
are,west2441,Western Arrarnta,Pama-Nyungan,Pama-Nyungan > Arandic-Thura-Yura > Arandic > South Arandic > Upper Arrernte > Western Arrarnta
arl,arab1268,Arabela,Zaparoan,Zaparoan > Iquito-Arabela > Arabela-Andoa > Arabela
arn,mapu1245,Mapudungun,Araucanian,Araucanian > Mapudungun
arp,arap1274,Arapaho,Algic,Algic > Algonquian-Blackfoot > Algonquian > Arapahoic > Arapaho-Gros Ventre-Besawunena > Arapaho
asg,cish1238,Western-Kambari-Cishingini,Atlantic-Congo,Atlantic-Congo > Volta-Congo > Benue-Congo > Kainji > Central Kainji > Kambari-Cicipu > Kambaric > West Kambaric > Western-Kambari-Cishingini
asj,nsar1238,Nsari,Atlantic-Congo,Atlantic-Congo > Volta-Congo > Benue-Congo > Bantoid > Southern Bantoid > Beboid > Eastern Beboid > Nsari-Nooni-Ncane > Nsari
